#METABOLOMICS WORKBENCH araskind_20170619_181205 DATATRACK_ID:1045 STUDY_ID:ST000741 ANALYSIS_ID:AN001155 PROJECT_ID:PR000535
VERSION             	1
CREATED_ON             	July 3, 2017, 1:46 pm
#PROJECT
PR:PROJECT_TITLE                 	Metabolite-phenotype link in X-linked Adrenoleukodystrophy
PR:PROJECT_TYPE                  	MS analysis
PR:PROJECT_SUMMARY               	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts
PR:INSTITUTE                     	Henry Ford Health System
PR:DEPARTMENT                    	Neurology
PR:LABORATORY                    	Singh Lab
PR:LAST_NAME                     	Singh
PR:FIRST_NAME                    	Jaspreet
PR:ADDRESS                       	Detroit, MI
PR:EMAIL                         	jsingh2@hfhs.org
PR:PHONE                         	313-916-7725
#STUDY
ST:STUDY_TITLE                   	Metabolite-phenotype link in X-linked Adrenoleukodystrophy (fibroblast cell
ST:STUDY_TITLE                   	culture)
ST:STUDY_TYPE                    	MS analysis
ST:STUDY_SUMMARY                 	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts.
ST:STUDY_SUMMARY                 	Fibroblasts cultured in DMEM with 15%FBS and antibiotic (pen/strep) in 100mm
ST:STUDY_SUMMARY                 	petridishes (1million/dish). After 24h cultures supplemented with fresh media
ST:STUDY_SUMMARY                 	(DMEM+15%FBS+antibiotic) for 3hr
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@med.umich.edu
ST:PHONE                         	(734) 232-8175
ST:NUM_GROUPS                    	4
ST:TOTAL_SUBJECTS                	2
#SUBJECT
SU:SUBJECT_TYPE                  	Human
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016570	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016571	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016572	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016573	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016574	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016575	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016576	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016577	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016578	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016579	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016580	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016581	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016582	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016583	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016584	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016585	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016586	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016587	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU9999996	S00017166	subject type:POOLED	
#COLLECTION
CO:COLLECTION_SUMMARY             	-
#TREATMENT
TR:TREATMENT_SUMMARY              	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY             	-
SP:SAMPLEPREP_PROTOCOL_FILENAME   	A003 - Untargeted Metabolomics.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	Reversed phase
CH:INSTRUMENT_NAME               	Agilent
CH:COLUMN_NAME                   	Waters Acquity HSS T3 (50 x 2.1mm, 1.8um)
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:ANALYSIS_PROTOCOL_FILE        	A003 - Untargeted Metabolomics.pdf
#MS
MS:MS_COMMENTS                   	-
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	QTOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	NEGATIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS         	peak area
MS_METABOLITE_DATA_START
Samples	S00016570	S00016571	S00016572	S00016573	S00016574	S00016575	S00016576	S00016577	S00016578	S00016579	S00016580	S00016581	S00016582	S00016583	S00016584	S00016585	S00016586	S00016587
Factors	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease
(-)-SALSOLINOL (CAS# 27740-96-1); (M+CL)-					1479		5079	2827					2833					
(S)-2-AMINO-3-(3-HYDOXY-4-OXO-4H-PYRIDIN-1-YL)PROPANOATE OR L-MIMOSINE (CAS# 500-44-7); (M-H)-										4009								
(S)-3-METHYL-2-OXOPENTANOATE (CAS# 1460-34-0); (M-H)-	149729	65484	140319	74171	80656	68005	128269	107358	48932	133109	148829	132476	60357	42067	34300	107840	68318	94226
(S)-DIHYDROOROTATE (CAS# 5988-19-2); (M-H)-													16464					
1-METHYLADENOSINE (CAS# 15763-06-1); (M+CL)-	25029	9552	17562	14090	16529	15591	23606	23361	6110	21358	23704	21403	21829	11236	6232	31097	23343	22469
1-METHYLURIC ACID (CAS# 708-79-2); (M-H)-	30271	4538	13615	2004	3180													
16:0 LYSO PC (CAS# 17364-16-8); (M+CL)-													8206					
16:0 LYSO PC (CAS# 17364-16-8); (M+HCOO)-	37632	101854	47597	30778	26714	30786	52742	44608	10943	29330	30039	29765	30892	19095	12809	49048	43969	36910
16:0-18:0 PC (CAS# 59403-51-9); (M+CL)-		53315	39558	7514	8193		71181	58494	19402	8821	29583	30593	7012	78034	36004		48057	52161
16:0-18:0 PC (CAS# 59403-51-9); (M+HCOO)-	50170	282966	204558	74302	49763	67728	305484	286541	157238	93652	194089	187926	41064	242273	134619	277842	243554	234836
18:0 LYSO-PE (CAS# 69747-55-3); (M-H)-	36885	67741	61063	34742	28018	36115	78378	93961	33101	33361	57541	54830	23773	63210	32146	69074	48059	43339
2'-DEOXYINOSINE (CAS# 890-38-0); (M+CL)-								1181										
2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE (CAS# 4229-38-3); (M+CL)-					6445													
2-AMINOETHYL DIHYDROGEN PHOSPHATE (CAS# 1071-23-4 ); (M-H)-	10445		3186	32928	44718	8413	7284	4527		35589	7485	50890	4736			2886	4693	31552
2-DEOXY-D-GLUCOSE (CAS# 154-17-6); (M+CL)-																	67226	
2-HYDROXY-3-METHYLBUTYRIC ACID (CAS# 4026-18-0); (M-H)-	1756						5665	4763		3318	5342	4423				2993		
2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID (CAS# 583-91-5); (M-H)-													1345					
2-METHYLGLUTARIC ACID (CAS# 18069-17-5); (M-H)-	76634	37562	49725	30839	28839	27222	56660	61212	37603	58403	58767	63545	60112	34211	32887	66977	49797	45107
2-METHYLMALEATE (CAS# 498-23-7); (M-H)-		2848	8420				3688			4744				14422	14368	8714		
2-OXOADIPATE (CAS# 3184-35-8); (M-H)-							3460											1161
20:0 LYSO PC (CAS# 108341-80-6); (M+HCOO)-	3936				3206	1607	1324	2554		2459	3279	2643	2081		2001		2777	3383
24:0 SM (D18:1/24:0) (CAS# 60037-60-7); (M+HCOO)-		58400	51588			8216	141338	117146	59001	44182	87041	84253		81029	36982	77644	65259	53910
3'-CMP (CAS# 63-37-6); (M-H)-												4648						
3-(4-HYDROXYPHENYL)LACTATE (CAS# 6482-98-0); (M-H)-	18248	9907	13714	7337	8855	7402	17544	15302	5645	23091	24389	19669	17617	7314	6136	26930	17376	14550
3-DEHYDROSHIKIMATE (CAS# 2922-42-1); (M-H)-						2687												
3-HYDROXY-3-METHYLGLUTARATE (CAS# 503-49-1); (M-H)-	284621	311332	323814	274360	283328	264416	318242	296221		279957	347168	316196	458313	435780	638015	218882	234747	204064
3-HYDROXYPHENYLACETATE (CAS# 621-37-4); (M-H)-			1334															14312
3-METHYGLUTARIC ACID (CAS# 626-51-7); (M-H)-	76634	37562	49725	30839	28839	27222	56660	61212	37603	58403	58767	63545	60112	34211	32887	66977	49797	46672
3-METHYLADIPIC ACID (CAS# 3058-01-3); (M-H)-	8083		6182		3043	3850	2835			6973	6007	6553	5417			5314	5525	5377
3-PHOSPHOGLYCERATE (CAS# ); (M-H)-	1650		8680	26904	16054	47461	59163	76361	20193		47557	72691	2080		13603	44746	33154	97333
3-SULFINO-L-ALANINE (CAS# 1115-65-7); (M-H)-			12210							8212			6246			13548		
4-ACETAMINOPHEN SULFATE (CAS# 32113-41-0); (M-H)-		13708					1643			3812								
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID-KRYNURENIC ACID (CAS# 492-27-3); (M-H)-	2189																	
4-HYDROXYBENZOATE (CAS# 99-96-7); (M-H)-									2128			2550						
4-METHYL-2-OXOPENTANOATE (CAS# 816-66-0); (M-H)-	161298	64305	156146	78831	86071		128686	115111	45118	157997	175450	155577	69654	39781	36234	127103	80483	113288
4-METHYL-2-OXOVALERIC ACID (CAS# 816-66-0); (M-H)-	161298	64641	156146	78831	86071		128686	115111	45118	157997	175450	155577	69654	39781	36234	127103	80483	113288
