#METABOLOMICS WORKBENCH araskind_20170619_181205 DATATRACK_ID:1045 STUDY_ID:ST000741 ANALYSIS_ID:AN001156 PROJECT_ID:PR000535
VERSION             	1
CREATED_ON             	July 3, 2017, 1:46 pm
#PROJECT
PR:PROJECT_TITLE                 	Metabolite-phenotype link in X-linked Adrenoleukodystrophy
PR:PROJECT_TYPE                  	MS analysis
PR:PROJECT_SUMMARY               	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts
PR:INSTITUTE                     	Henry Ford Health System
PR:DEPARTMENT                    	Neurology
PR:LABORATORY                    	Singh Lab
PR:LAST_NAME                     	Singh
PR:FIRST_NAME                    	Jaspreet
PR:ADDRESS                       	Detroit, MI
PR:EMAIL                         	jsingh2@hfhs.org
PR:PHONE                         	313-916-7725
#STUDY
ST:STUDY_TITLE                   	Metabolite-phenotype link in X-linked Adrenoleukodystrophy (fibroblast cell
ST:STUDY_TITLE                   	culture)
ST:STUDY_TYPE                    	MS analysis
ST:STUDY_SUMMARY                 	Untargeted metabolomics of control, AMN and ALD patient-derived fibroblasts.
ST:STUDY_SUMMARY                 	Fibroblasts cultured in DMEM with 15%FBS and antibiotic (pen/strep) in 100mm
ST:STUDY_SUMMARY                 	petridishes (1million/dish). After 24h cultures supplemented with fresh media
ST:STUDY_SUMMARY                 	(DMEM+15%FBS+antibiotic) for 3hr
ST:INSTITUTE                     	University of Michigan
ST:DEPARTMENT                    	Biomedical Research Core Facilities
ST:LABORATORY                    	Metabolomics core
ST:LAST_NAME                     	Kachman
ST:FIRST_NAME                    	Maureen
ST:ADDRESS                       	6300 Brehm Tower, 1000 Wall Street, Ann Arbor, MI 48105-5714
ST:EMAIL                         	mkachman@med.umich.edu
ST:PHONE                         	(734) 232-8175
ST:NUM_GROUPS                    	4
ST:TOTAL_SUBJECTS                	2
#SUBJECT
SU:SUBJECT_TYPE                  	Human
SU:SUBJECT_SPECIES               	Homo sapiens
SU:TAXONOMY_ID                   	9606
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016570	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016571	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016572	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016573	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016574	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016575	subject type:Healthy control	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016576	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016577	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016578	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016579	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016580	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016581	subject type:Mild disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016582	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016583	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016584	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016585	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016586	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU0005145	S00016587	subject type:Severe disease	
SUBJECT_SAMPLE_FACTORS           	SU9999996	S00017166	subject type:POOLED	
#COLLECTION
CO:COLLECTION_SUMMARY             	-
#TREATMENT
TR:TREATMENT_SUMMARY              	-
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY             	-
SP:SAMPLEPREP_PROTOCOL_FILENAME   	A003 - Untargeted Metabolomics.pdf
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	Reversed phase
CH:INSTRUMENT_NAME               	Agilent
CH:COLUMN_NAME                   	Waters Acquity HSS T3 (50 x 2.1mm, 1.8um)
#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
AN:ANALYSIS_PROTOCOL_FILE        	A003 - Untargeted Metabolomics.pdf
#MS
MS:MS_COMMENTS                   	-
MS:INSTRUMENT_NAME               	Agilent 6530 QTOF
MS:INSTRUMENT_TYPE               	QTOF
MS:MS_TYPE                       	ESI
MS:ION_MODE                      	POSITIVE
#MS_METABOLITE_DATA
MS_METABOLITE_DATA:UNITS         	peak area
MS_METABOLITE_DATA_START
Samples	S00016570	S00016571	S00016572	S00016573	S00016574	S00016575	S00016576	S00016577	S00016578	S00016579	S00016580	S00016581	S00016582	S00016583	S00016584	S00016585	S00016586	S00016587
Factors	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Healthy control	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Mild disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease	subject type:Severe disease
(2-AMINOETHYL)PHOSPHONATE (CAS# 2041-14-7); (M+H)+				1850												3633		2034
(S)-2-AMINO-3-(3-HYDOXY-4-OXO-4H-PYRIDIN-1-YL)PROPANOATE OR L-MIMOSINE (CAS# 500-44-7); (M+H)+													1404	2168				
1-(4-HYDROXYPHENYL)-2-AMINOETHANOL (CAS# 104-14-3); (M+H)+[-H2O]	1817	1239					1124	2147	4683	1448								
1-AMINOCYCLOPROPANE-1-CARBOXYLATE (CAS# 22059-21-8); (M+H)+	121633	128107	316881	345973				279123	325294	291114	300513			311570		279186	89288	312094
1-METHYLADENOSINE (CAS# 15763-06-1); (M+H)+				4781									4518					
1-METHYLNICOTINAMIDE (CAS# ); M+	4687913	4668854	4719759	6301557	5713565	4960675	3645924	3922537	4180879	2765227	2752228	2810806	5173599	5065990	4852532	2847744	3168369	3374349
1-OLEOYL-RAC-GLYCEROL (CAS# 111-03-5); (M+H)+[-H2O]	117575	9509		135401	128085	140525		11439	19920		104514	77990	66862	202884	132572	7787	116963	10615
1-OLEOYL-RAC-GLYCEROL (CAS# 111-03-5); (M+NA)+	134914	97458	169981	101868	93540	76528	134023	24516	84694	81592	76344	78282	88469	140132	103252	170858	186812	129041
1-PHENYLETHANOL (CAS# 1445-91-6); (M+H)+[-H2O]	2972	5230	4473	2978	1953			4200	3816	3056	1840		6452	7556	5518	3853	3204	4179
16:0 LYSO PC (CAS# 17364-16-8); (M+H)+	87474	105986	29147	64437	55122	58061	133266	133740	80055	56083	64704	67099	53639	152183	73040	102685	76816	81369
16:0 LYSO PC (CAS# 17364-16-8); (M+NA)+	451703	876615	792311	403552	339959	347498	887303	709972	443596	325937	318263	334188	359997	1504770	531678	679373	597648	536746
16:0-18:0 PC (CAS# 59403-51-9); (M+H)+	6267															7563		
16:0-18:0 PC (CAS# 59403-51-9); (M+NA)+		45070			61541	176907	125580	168085	159995		17723		79854	52955	126808	107986		26230
18:0 LYSO-PE (CAS# 69747-55-3); (2M+H)+									1056		1802							
18:0 LYSO-PE (CAS# 69747-55-3); (M+H)+							70410									37962		
18:0 LYSO-PE (CAS# 69747-55-3); (M+NA)+	37861	43023	32778	30422		29237	33291	31993		33460	30046		29117	53964	29151	41338	28268	29858
2'-DEOXYINOSINE (CAS# 890-38-0); (2M+H)+				5546		1924												
2'-DEOXYINOSINE (CAS# 890-38-0); (M+H)+						1669			1495									
2'-DEOXYINOSINE (CAS# 890-38-0); (M+NA)+					2396				5035		2195	1757				2387		2347
2-(DIPHENYLMETHOXY)-N-METHYLETHYLAMINE (CAS# 17471-10-2); (M+H)+	1795		1401		1879	1364			1160				2595		1443	2087		
2-HYDROXYPYRIDINE (CAS# 142-08-5); (M+H)+															2400			
2-METHYLGLUTARIC ACID (CAS# 18069-17-5); (M+NA)+	61467	55176			36887	32150				57119	57749	69784			53708			59968
2-METHYLPROPANAL OXIME (CAS# 151-00-8); (M+H)+[-H2O]	372467	347968			266862	226038	328696	358026	374782	234482	243194	227238	241091	226606	1781	395969	447961	
20:0 LYSO PC (CAS# 108341-80-6); (M+NA)+		7419			19653	34258			26252		27448	14422	10985		47282	27012	31979	
24:0 SM (D18:1/24:0) (CAS# 60037-60-7); (M+H)+							18534							1337				
24:0 SM (D18:1/24:0) (CAS# 60037-60-7); (M+NA)+							624326							135347				
25-HYDROXYCHOLESTEROL (CAS# 2140-46-7); (M+H)+[-H2O]		23621					8340	42854						33401		2079		
25-HYDROXYCHOLESTEROL (CAS# 2140-46-7); (M+NA)+																		1060
3'-CMP (CAS# 63-37-6); (M+H)+	32662	25697	31141	36874	30803	32673			32871		5035		35249	25125	25490	36044	33397	31155
3-(4-HYDROXYPHENYL)LACTATE (CAS# 6482-98-0); (M+NA)+	1883		3348	2039			2497		2255	5387	1505	5456	1860	1017	1132	1143		1666
3-AMINO-4-HYDROXYBENZOIC ACID (CAS# 1571-72-8); (M+H)+												1448						
3-AMINOISOBUTANOATE (CAS# 144-90-1); (M+H)+[-H2O]	3540	1689	2764				4926	3837		3343	3598		1584	2867			2565	2344
3-HYDROXY-3-METHYLGLUTARATE (CAS# 503-49-1); (M+H)+	14870		15499	11162	14456	8199	7556	3232	7083	11577		10803		4028	7329	15453	13727	
3-HYDROXYBENZALDEHYDE (CAS# 100-83-4); (M+H)+[-H2O]	1390										1723							
3-METHOXYTYROSINE (CAS# 4214-13-5); (M+H)+			6718				4007			5376				5325		3766		
3-METHYGLUTARIC ACID (CAS# 626-51-7); (M+NA)+	61467	55176			36887	32150				57119	57749	71776			53708			59968
